Time_min,r_m,z_m,T_C,c_mol_m3,label
0.0,0.0,0.0,53.003021180321284,47022.69845007721,core_center
9.661016949152543,0.0,0.0,52.98968886312918,47070.57552318992,core_center
19.322033898305087,0.0,0.0,53.007440503127306,47127.19813082227,core_center
28.983050847457626,0.0,0.0,53.00932542282942,47329.602014612574,core_center
38.64406779661017,0.0,0.0,53.14549524240553,47704.29224305028,core_center
48.305084745762706,0.0,0.0,53.46280153046284,48176.2964528208,core_center
57.96610169491525,0.0,0.0,53.798283243054,48439.09344200327,core_center
67.6271186440678,0.0,0.0,53.84604457188967,48448.54686545799,core_center
77.28813559322035,0.0,0.0,53.556718493975076,48276.5433973803,core_center
86.94915254237289,0.0,0.0,53.22833974067718,47962.37729052072,core_center
96.61016949152541,0.0,0.0,53.13621466144178,47688.1460164251,core_center
106.27118644067797,0.0,0.0,53.4176202108078,47511.85123368498,core_center
115.9322033898305,0.0,0.0,53.73000423742863,47385.66671200608,core_center
125.59322033898304,0.0,0.0,54.06239003101074,47338.6465361462,core_center
135.2542372881356,0.0,0.0,54.37787177611286,47269.59922852306,core_center
144.91525423728814,0.0,0.0,54.68675009753003,47371.14636757953,core_center
154.5762711864407,0.0,0.0,54.911068740978756,47623.44801198754,core_center
164.23728813559322,0.0,0.0,54.64622858898751,48087.66706542601,core_center
173.89830508474577,0.0,0.0,54.34701576521174,48364.54026860271,core_center
183.5593220338983,0.0,0.0,54.049639125451094,48138.25066071399,core_center
193.22033898305082,0.0,0.0,54.00144813996593,47546.46124984225,core_center
202.8813559322034,0.0,0.0,53.993463506311016,46798.650558416804,core_center
212.54237288135593,0.0,0.0,54.01213519058538,46382.092887422725,core_center
222.20338983050848,0.0,0.0,53.99846880523505,46288.790211474174,core_center
231.864406779661,0.0,0.0,53.99575331566977,46230.755694943204,core_center
241.52542372881356,0.0,0.0,54.00115739062458,45946.31393936632,core_center
251.1864406779661,0.0,0.0,54.24874769918507,45181.671240598655,core_center
260.8474576271186,0.0,0.0,54.56368110286958,44323.31631022687,core_center
270.5084745762712,0.0,0.0,54.88563487828552,43741.96664664182,core_center
280.1694915254237,0.0,0.0,54.78499948255838,43531.66609518993,core_center
289.8305084745763,0.0,0.0,54.49443945111523,43599.681571154404,core_center
299.4915254237288,0.0,0.0,54.148091957987035,43702.999084982985,core_center
309.1525423728814,0.0,0.0,54.00526281847739,43808.714710928376,core_center
318.81355932203394,0.0,0.0,53.99260847892957,43987.83495218628,core_center
328.47457627118644,0.0,0.0,54.00615154751475,44380.733864477406,core_center
338.135593220339,0.0,0.0,54.16092918900529,45196.00393076938,core_center
347.79661016949154,0.0,0.0,54.457754142204394,46197.33303885695,core_center
357.4576271186441,0.0,0.0,54.771744591033695,46846.15887717,core_center
367.1186440677966,0.0,0.0,54.853044310228135,46923.097807412174,core_center
376.77966101694915,0.0,0.0,54.57996330487987,46422.29373821414,core_center
386.44067796610165,0.0,0.0,54.26109468891083,45870.017546628675,core_center
396.10169491525426,0.0,0.0,54.12247380690449,45450.601627244774,core_center
405.7627118644068,0.0,0.0,54.38678928716733,45013.91796876106,core_center
415.4237288135593,0.0,0.0,54.71473024062179,44646.86226102378,core_center
425.08474576271186,0.0,0.0,54.9016982106816,44062.03650654177,core_center
434.7457627118644,0.0,0.0,54.6416142422941,43474.49838197312,core_center
444.40677966101697,0.0,0.0,54.33004015907019,42976.42949092371,core_center
454.06779661016947,0.0,0.0,54.04564899947261,42834.44592566289,core_center
463.728813559322,0.0,0.0,54.00957361560977,43003.41511892633,core_center
473.38983050847463,0.0,0.0,54.00085604482996,43268.91377699029,core_center
483.0508474576271,0.0,0.0,54.00287870773922,43869.8370989003,core_center
492.7118644067797,0.0,0.0,54.00625983399901,44501.40273277367,core_center
502.3728813559322,0.0,0.0,53.98555278029193,45037.19373242611,core_center
512.0338983050848,0.0,0.0,53.99683055722036,45278.02564363311,core_center
521.6949152542372,0.0,0.0,53.9953363935501,45289.49943166061,core_center
531.3559322033899,0.0,0.0,53.99366571385195,44974.696547009975,core_center
541.0169491525425,0.0,0.0,53.997272045421575,44521.51955721453,core_center
550.677966101695,0.0,0.0,54.01482190390095,43900.66709069841,core_center
560.3389830508474,0.0,0.0,53.99141553887207,43301.77432608849,core_center
570.0,0.0,0.0,54.00960019541699,42679.89042128809,core_center
0.0,0.002528,0.0,52.989861572271195,47130.19170586634,mid_radial
9.661016949152543,0.002528,0.0,53.00177584516,47116.75798488086,mid_radial
19.322033898305087,0.002528,0.0,53.00217921440658,47309.431566572195,mid_radial
28.983050847457626,0.002528,0.0,53.01346366268681,47782.92163218837,mid_radial
38.64406779661017,0.002528,0.0,53.179739830930245,48291.85733952967,mid_radial
48.305084745762706,0.002528,0.0,53.48655796146009,48623.0796057365,mid_radial
